Chr	gene	log2_ratio	CopyNumber
chr19	19p	0.45059405309	2.73320572363
chr19	19q	0.316268208065	2.49021137711
chr1	1p	-0.0692660033621	1.9062455856
chr1	1q	-0.0468620802186	1.9360791316
chr2	ACVR1	-0.228757002566	1.70673964327
chr7	BRAF	0.411530477672	2.66019218683
chr12	CDK4	-0.0611609520423	1.91698499959
chr7	CDK6	0.15532692493	2.22734791211
chr9	CDKN2A	-1.05320678388	0.963791655977
chr3	CTNNB1	-0.129071665251	1.82883932994
chr6	DAXX	-0.276971737783	1.6506431526
chr7	EGFR	0.186472377507	2.27595554337
chr4	FAT1	-0.0550294161489	1.92514963254
chr8	FGFR1	0.408773245858	2.65511296926
chr9	GNAQ	-0.111542557654	1.85119573068
chr20	GNAS	0.321058289623	2.49849319661
chr15	IDH2	0.109221688827	2.1572923339
chr4	KDR	-0.217828259258	1.71971767826
chr4	KIT	-0.144553383425	1.80931878109
chr11	MEN1	-0.00659265521631	1.99088148946
chr7	MET	0.119281490729	2.17238753561
chr3	MLH1	-0.0500946367211	1.93174593661
chr17	NF1	-0.0668688556961	1.90941559067
chr15	NTRK3	-0.0579406864602	1.92126871543
chr4	PDGFRA	-0.0680243192325	1.90788693994
chr3	PIK3CA	-0.0686730395246	1.90702923494
chr5	PIK3R1	-0.201164963682	1.73969577008
chr7	PMS2	0.414415792664	2.6655177564
chr17	PPM1D	-0.0683957060817	1.90739586393
chr9	PTCH1	-0.0517662932608	1.92950891111
chr10	PTEN	-0.444112805775	1.47007238546
chr13	RB1	-0.125509074038	1.83336104655
chr2	RGPD3	-0.0983508397186	1.86820032291
chr17	SMARCE1	-0.0678774299026	1.9080812031
chr7	SMO	0.126048491699	2.18260111421
chr9	TSC1	-0.0813144431553	1.89039216744
chr15	USP8	-0.0467918346777	1.93617340256
