gene	GCS	log2_ratio	exons
19p	12.2626066498	0.45059405309	8
19q	30.759552566	0.316268208065	64
1p	-7.82977639625	-0.0692660033621	113
1q	-1.98571015828	-0.0468620802186	24
ACVR1	-12.7705135565	-0.228757002566	9
AKT1	-2.95718066814	-0.00579764620462	13
BRAF	13.2067514607	0.411530477672	25
BRCA1	-2.11813309851	0.00597232696107	3
BRCA2	-3.52173699402	-0.0559604546413	5
CDK4	-5.47737981875	-0.0611609520423	7
CDK6	7.28021117369	0.15532692493	9
CDKN2A	-17.0287015757	-1.05320678388	8
CDKN2B	-14.0090345103	-1.20777048392	2
CHEK2	2.23749515764	0.0520836236804	14
CTNNB1	-9.13755146374	-0.129071665251	13
DAXX	-3.8513432589	-0.276971737783	8
EGFR	10.172247714	0.186472377507	33
FAT1	-10.5531853581	-0.0550294161489	27
FGFR1	24.4676049703	0.408773245858	51
FGFR3	-0.524773663418	0.0605737582763	16
GNAQ	-9.97864089962	-0.111542557654	7
GNAS	10.2165035309	0.321058289623	21
HIST1H3B	-0.800087640139	-0.0981764782083	1
HIST1H3C	-0.372947438348	-0.021108079982	1
HRAS	0.562383574133	0.0185780302753	5
IDH1	2.57162357939	0.0710246128703	8
IDH2	4.70985714242	0.109221688827	11
KDR	-17.7965816131	-0.217828259258	30
KIT	-11.0413965887	-0.144553383425	21
KLF4	0.742358417397	-0.0425369198355	4
KRAS	-1.95815026157	-0.111153130917	5
MEN1	-2.90835511771	-0.00659265521631	9
MET	10.2948526189	0.119281490729	22
MLH1	-3.23815960858	-0.0500946367211	21
MSH2	-1.27803941382	0.0258736789279	17
MSH6	-2.24037674566	-0.0332069919153	11
MYC	0.148807447498	0.0269910450144	3
MYCN	-2.13894614578	-0.0930628707409	4
MYD88	-2.96041349062	-0.0563178490608	5
NF1	-7.95490923989	-0.0668688556961	61
NF2	-4.01950726688	-0.0161591444247	17
NM	3.84936138003	0.645613541321	1
NOTCH1	4.46926511493	0.0976349006378	35
NTRK2	0.689550136993	0.0567698714759	80
NTRK3	-8.5745074838	-0.0579406864602	190
PDGFRA	-6.899059968	-0.0680243192325	23
PIK3CA	-5.2903856652	-0.0686730395246	19
PIK3R1	-11.2668058507	-0.201164963682	18
PLCG1	1.70787600198	0.0238625604768	29
PMS2	16.2986805665	0.414415792664	15
PPM1D	-4.57222944283	-0.0683957060817	7
PTCH1	-5.58867226538	-0.0517662932608	28
PTEN	-20.9353119947	-0.444112805775	9
PTPN11	-2.45287463302	-0.0660645107356	15
RB1	-6.92736432642	-0.125509074038	28
RELA	0.679112242533	0.0223535180101	10
RGPD3	-5.95961639455	-0.0983508397186	23
SETD2	-0.482081068145	0.0339503321814	24
SMARCB1	1.39822450963	-0.062072289411	9
SMARCE1	-5.61202105983	-0.0678774299026	12
SMO	7.85509546222	0.126048491699	13
TERT	-2.57818221871	-0.0344974042432	16
TP53	2.32733257834	0.145754066335	10
TRAF7	3.07590929221	0.0938072249301	17
TSC1	-8.75756916279	-0.0813144431553	21
TSC2	4.69179982034	0.0636043268504	41
USP8	-4.08135479641	-0.0467918346777	19
YAP1	-0.53216717432	0.0336759076775	28
rs1045642	1.38307767434	0.247220855101	1
rs1056892	-1.40357810527	-0.265135382048	1
rs11045585	-1.97504501963	-0.376883004779	1
rs1105525	-1.54235561007	-0.309394920525	1
rs1113129	-4.89464051799	-1.18162389142	1
rs11545078	-2.9232620489	-0.474093560834	1
rs11572080	-3.42884622296	-0.62006743013	1
rs11598702	-3.75614267645	-0.548801746366	1
rs12210538	-4.26026796911	-0.638621972039	1
rs12762549	0.831219156363	0.158151101078	1
rs151264360	-0.395126147035	-0.0761912381893	1
rs1517114	-0.228024935354	-0.0247251374559	1
rs1570360	-0.712964682188	-0.0998271213937	1
rs1650697	-1.16183204421	-0.210983364576	1
rs1650723	0.345649793123	0.0689164202483	1
rs1695	-0.637235739748	-0.0830506213475	1
rs1801019	0.452777028269	0.0590000334818	1
rs183484	-1.77019522429	-0.306367040622	1
rs1934951	-5.79695901263	-1.01159776082	1
rs2032582	0.191816305444	0.056076730435	1
rs2228001	-0.4824259526	-0.0797678906663	1
rs2784917	-3.18596883714	-0.675230355896	1
rs3892097	1.42681189733	0.392067386049	1
rs3957357	-2.58833771437	-0.58520673085	1
rs4148323	-0.638775199468	-0.117577027372	1
rs4244285	-0.879234574224	-0.210797816268	1
rs442767	-2.09822821461	-0.297680630898	1
rs4646	-1.4178343827	-0.244859091641	1
rs4673	0.236210581973	0.0392209767299	1
rs4673993	-0.634641028748	-0.0981281974528	1
rs4880	-0.212456346582	-0.047286160382	1
rs699947	-0.508087373172	-0.032722465265	1
rs716274	-2.92635083549	-0.488792555243	1
rs8133052	-0.173744021583	-0.0387625962762	1
rs8175347	3.1885641919	0.558729839167	1
rs9561778	-0.901232188122	-0.162082455284	1
rs9937	0.870478321676	0.153746949134	1
